Date,Content,
7.6.42,"The Sunday Express has also gone cold on the second front. The official line now appears to be that our air raids are a second front. Obviously there has been some kind of government handout to the papers, telling them to pipe down on this subject. [If the government merely wishes to stop them spreading misleading rumours, the puzzle is why they weren’t silenced earlier.] It is just possible that the invasion has now been definitely decided on and the papers have been told to go anti-second front in order to throw the enemy off the scent. In this labyrinth of lies in which we are living the one explanation one never believes is the obvious one. [Cf. David Astor’s story about the two German Jews meeting in the train:

First Jew. Where are you going to?

Second Jew. Berlin.

First Jew. Liar! You just say that to deceive me. You know that if you say you are going to Berlin I shall think you are going to Leipzig, and all the time, you dirty crook, you really are going to Berlin!’]

Last Tuesday [2 June 1942] spent a long evening with Cripps (who had expressed a desire to meet some literary people) together with Empson, Jack Common, David Owen, Norman Cameron, Guy Burgess [1] and another man (an official) whose name I didn’t get. About 2 ½ hours of it, with nothing to drink. The usual inconclusive discussion. Cripps, however, very human and willing to listen. The person who stood up to him most successfully was Jack Common. Cripps said several things that amazed and slightly horrified me. One was that many people whose opinion was worth considering believed that the war would be over by October – ie. that Germany would be flat out by that time. When I said that I should look on that as a disaster pure and simple (because if the war were won as easily as that there would have been no real upheaval here and the American millionaires would still be in situ) he appeared not to understand. He said that once the war was won the surviving great powers would in any case have to administer the world as a unit, and seemed not to feel that it made much difference whether the great powers were capitalist or socialist.* [Both David Owen and the man whose name I don’t know supported him.] I saw that I was up against the official mind, which sees everything as a problem in administration and does not grasp that at a certain point, ie. when certain economic interest are menaced, public spirit ceases to function. [The basic assumption of such people is that everyone wants the world to function properly and will do his best to keep the wheels running. They don’t realise that most of those who have the power don’t care a damn about the world as a whole and are only intent on feathering their own nests.] I can’t help feeling a strong impression that Cripps has already been got at. Not with money or anything of that kind of course, nor even by flattery and the sense of power, which in all probability he genuinely doesn’t care about: but simply by responsibility, which automatically makes a man timid. Besides, as soon as you are in power your perspectives are foreshortened. Perhaps a bird’s eye view is as distorted as a worm’s eye view.

[Wintringham denies being “Thomas Rainboro’ “, I think perhaps with truth. If not Wintringham, it might be Lord Winster (Commander Fletcher) [2] ]

*Very interesting but perhaps rather hard on Cripps to report an impression like this from a private interview [Orwell’s handwritten footnote on typescript].",
10.6.42,"The only time when one hears people singing in the BBC is in the early morning, between 6 and 8. That is the time when the charwomen are at work. A huge army of them arrives all at the same time, they sit in the reception hall waiting from their brooms to be issued to them and making as much noise as a parrot house, and then they have wonderful choruses, all singing together as they sweep the passages. The place has a quite different atmosphere at this time from what it has later in the day.",
11.6.42,"[The Germans announce over the wireless that as the inhabitant of a Czech village called Ladice° (about 1200 inhabitants) were guilty of harbouring the assassins of Heydrich they have shot all the males in the village, sent all the women to concentration camps, sent all the children to be “re-educated”, razed the whole village to the ground and changed its name. I am keeping a copy of the announcement, as recorded in the BBC morning report.]

From the BBC monitoring report: –

PRAGUE (CZECH HOME STATIONS). IN GERMAN FOR PROTECTORATE. 10.6.42

Heydrich Revenge: Village Wiped Out: All Men Shot: ANNOUNCEMENT

It is officially announced: The search and investigation for the murderers of S.S. Obergruppenfuehrer Gen. Heydrich [1] has established unimpeachable indications (sic) that the population of the locality of Lidice, near Kladno, supported and gave assistance to the circle (sic) of perpetrators in question. In spite of the interrogation of the local inhabitants, the pertinent means of evidence were secured without the help of the population. The attitude of the inhabitants to the outrage thus manifested, is manifested also by other acts hostile to the Reich, by the discoveries of printed matter hostile to the Reich, of dumps of arms and ammunition, of an illegal wireless transmitter, of huge quantities of controlled goods, as well as by the fact that inhabitants of the locality are in active enemy service abroad. Since the inhabitants of this village (sic) have flagrantly violated the laws which have been issued, by their activity and by the support given to the murderers of S.S. Obergruppenfuehrer Heydrich, the male adults have been shot, the women have been sent to a concentration camp and the children have been handed over to the appropriate educational authorities. The buildings of the locality have been levelled to the ground, and the name of the community has been obliterated.

(Note: This is an identical repetition, in German, of an announcement made in Czech, from Prague at 19.00, when reception was very bad).

It does not particularly surprise me that people do this kind of thing, nor even that they announce that they are doing them. What does impress me, however, is that other people’s reaction to such happenings is governed solely by the political fashion of the moment. Thus before the war the pinks believed any and every horror story that came out of Germany or China. Now the pinks no longer believe in German or Japanese atrocities and automatically write off all horror stories as “propaganda”. In a little while you will be jeered at if you suggest that they story of Lidice could possibly be true. And yet there the facts are, announced by the Germans themselves and recorded on gramophone discs which no doubt will still be available. Cf. the long list of atrocities from 1914 onwards [German atrocities in Belgium, Bolshevik atrocities, Turkish atrocities, British atrocities in India, American atrocities in Nicaragua, Nazi atrocities, Italian atrocities in Abyssinia and Cyrenaica, red and white atrocities in Spain, Japanese atrocities in China [2] – – – ] in every case believed in or disbelieved in according to  political predilection, with utter non-interest in the facts and with complete willingness to alter one’s beliefs as soon as the political scene alters.

 

 

Atrocities (post 1918)

Date                      Believed in by the Right                                                                Believed in by the Left

1920                       Turkish atrocities (Smyrna)                                          Turkish atrocities (Smyrna)

1920                       Sinn Fein atrocities                                                          Black and Tan atrocities

(circa)                    Bolshevik atrocities                                                         British atrocities in India (Amritsar)

1923                                                                                                                       French atrocities (the Ruhr)

1928                                                                                                                       American atrocities (Nicaragua)

1933                       Bolshevik atrocities (White Sea canal etc.)

1934 – 9                                                                                                                German atrocities

1935                                                                                                                       Italian atrocities (Abyssinia)

1936-9                   Red atrocities in Spain                                                    Fascist atrocities in Spain

1937                       Bolshevik atrocities (the purges)                                               Japanese atrocities [3]

1939                       German atrocities                                                            British atrocities (Isle of Man etc) [4]

et seq.

1941                       Japanese atrocities

et seq.",
13.6.42,"The most impressive fact about the Molotov visit is that the Germans knew nothing about it. Not a word on the radio about Molotov’s presence in London till the signature of the treaty was officially announced, although all the while the German radio was shouting about the bolshevisation of Britain. Obviously they would have split the beans if they had known. Taken on conjunction with certain other things (eg. The capture last year of two very amateurish spies dropped by parachute, with portable wireless transmitters and actually with chunks of German sausage in their suitcases) this suggests that the German spy system in this country cannot be up to much.

A sequence of four newspaper cuttings is pasted into the manuscript Diary at this point. For full details see Complete Works, XIII, pp. 362-3.;

From editorial in Tribune of 12.6.42. on the death of Wm. Mellor. [1] Their idea of “Vigorous style”.
From Hitler’s speeches, quoted in Reynold’s [2] of 21.6.42.
Tribune of 12.6.42. (article by Wilfred Macartney). Cf. prewar references to axis censorship, radio hypnosis etc. Cf. also German official statements in the Cologne raid.
How we live in 1942 (cutting from E. Standard: Illustration of five women, captioned ‘Russia’s Tommy-Gun Girls are Ready to Fight.’",
15.6.42,"No question now that the second front has been decided on. All the papers talk of it as a certainty and Moscow is publicising it widely. Whether it is really feasible remains to be seen, of course.

Cutting from BBC monitoring report. Typical of many similar German announcements.

Pasted sideways in the manuscript is the BBC monitoring report and his own typed report of the liquidation of Lidice. The texts are verbally the same. (See CW, XIII, p. 364).",
21.6.42,"The thing that strikes one in the BBC – and it is evidently same in various of the other departments – is not so much the moral squalor and the ultimate futility of what we are doing, as the feeling of frustration, the impossibility of getting anything done, even any successful piece of scoundrelism. Our policy is so ill-defined, the disorganisation is so great [there are so many changes of plan] and the fear and hatred of intelligence are so all-pervading, that one cannot plan any sort of wireless campaign whatever. [When one plans some series of talks, with some more or less definite propaganda line behind it, one is first told to go ahead, then choked off on the ground that this or that is “injudicious” or “premature”, then told again to go ahead, then told to water everything down and cut out any plain statements that may have crept in here and there, then told to “modify” the series in some way that removes its original meaning; and then at the last moment the whole thing is suddenly cancelled by some mysterious edict from above and one is told to improvise some different series which one feels no interest in and which in any case has no definite idea behind it.]

One is constantly putting sheer rubbish on the air because of having talks which sounded too intelligent cancelled at the last moment. In addition the organisation is so overstaffed that numbers of people have almost literally nothing to do. But even when one manages to get something fairly good on the air one is weighed down by the knowledge that hardly anybody is listening. Except, I suppose, in Europe the BBC simply inst listened to overseas, a fact known to everyone concerned with overseas broadcasting. [Some listener research has been done in America and it is known that in the whole of the USA about 300,000 people listen to the BBC. In India or Australia the number would not be anywhere near that.] It has come out recently that (two years after the Empire service was started) plenty of Indians with shortwave sets don’t even know that the BBC broadcasts to India.

It is the same with the only other public activity I take part in, the Home Guard. After two years no real training has been done, no specialised tactics worked out, no battle positions fixed upon, no fortifications built – all this owing to endless changes of plan and complete vagueness as to what we are supposed to be aiming at. Details of organisation, battle positions etc. have been changed so frequently that hardly anyone knows at any given moment what the current arrangements are supposed to be. To give just one example, for well over a year our company has been trying to dig a system of trenches in Regents Park, in case airborne troops land there. Though dug over and over again these trenches have never once been in a completed state, because when they are half done there is always a change of plan and fresh orders. Ditto with everything. Whatever one undertakes, one starts with the knowledge that presently there will come a sudden change of orders, and then another change, and so on indefinitely. Nothing ever happens except continuous dithering, resulting in progressive disillusionment all round. The best one can hope is that it is much the same on the other side.",
24.6.42,"Listened in last night to Lord Haw Haw – not Joyce,[1] who apparently has been off air for some time, but a man who sounded to me like a South African, followed by another with more of a cockney voice. There was a good deal about the Congress of the Free India movement in Bangkok. Was amazed to notice that all the Indian names were mispronounced, and grossly mispronounced – g. Ras Behari Bose [2] rendered as Rash Berry Bose. Yet after all the Indians who are broadcasting from Germany are available for advice on these points. They probably go in and out of the same building as Lord Haw Haw every day. It is rather encouraging to see this kind of slovenliness happening on the other side as well.",
1.7.42,"At Callow End, Worcs. (staying on a farm). [1] No noise except aeroplanes, birds and the mowers cutting the hay. No mention of the war except with reference to the Italian prisoners, who are working on some of the farms. They seem to be considered good workers and for fruit-picking are preferred to the town people who come down from Worcester and are described as “artful”. In spite of the feeding difficulties, plenty of pigs, poultry, geese and turkeys about. Cream for every meal at this place. [2]

[Huge bombers flying overhead all day. Also aeroplanes doing extraordinary things, eg. Towing other planes by a wire (perhaps gliders?) or carrying smaller planes perched on their backs.]",
3.7.42,"Vote of censure defeated 475-25. This figure means that there were very few abstentions. The same trick as usual – the debate twisted into a demand for a vote of confidence on Churchill himself, which has to be given, since there is no one to take Churchill’s place. Things are made much easier for the government by the obvious bad motives of some of its chief attackers, eg. Hore-Belisha. [1] I don’t know how much longer this comedy can go on, but not much longer.

No reference to the second front in Churchill’s speech.

The Japanese are evidently going to attack Russia fairly soon. They appear to be firmly lodged in the outer Aleutians, which can’t have any meaning except as a move to cut communications between Russia and the USA.

The pinks are panicking to an extent they haven’t equalled since Dunkirk. The New Statesmen’s leading article is headed “Facing the Spectre”. They take the loss of Egypt for granted. Heaven knows whether this will actually happen, but these people have prophecied° the loss of Egypt so often before that their doing so again is almost enough to persuade one that it won’t happen. IT is curious how they always do what the Germans want them to do – eg., for some time past, demanding that we stop the raids on Germany and send our bombers to Egypt. A little earlier we were to send our bombers to India. In each case the same move as was being demanded by the German “freedom” stations. A thing that strikes one also is the airy disdain with which all the pinks talk of our air raids on Germany – air raids make very little impression, etc., etc. And these are the people who squealed loudest during the blitz on London.",
10.7.42,"A day or two ago a couple of lorries belonging to the Navy arrived with a party of Wrens [1] and sailors who put in several hours work weeding out the turnips in Mr. Phillips’s [2] field. All the village women delighted by the appearance of the sailors in their blue trousers and white singlets. “Don’t they look clean, like! I like sailors. They always look so clean”. [The sailors and Wrens also seemed to enjoy their outing and drinks in the pub afterwards. It appeared that they belonged to some volunteer organisation which sends workers out as they are needed] Mrs Phillips explains it: “It’s the voluntary organisation from Malvern. [3] Sometimes it’s A.Ts [4] they send and sometimes sailors. Of course we like having them. Well, it makes you a bit independent of your own work-people you see. The work-people, they’re awful nowadays. Just do so much and no more. [they know you can’t do without them, you see. And you can’t get a woman to do a bit indoors nowadays. The girls won’t stay here, with no picture-house in the village. I do have a woman who comes in, but I can’t get any work out of her.] It helps a bit when you get a few voluntary workers. Makes you more independent, like”.

How right and proper it all is [when you consider how necessary it is that agricultural work should not be neglected, and how right and proper also that town people should get a bit of contact with the soil.] Yet these voluntary organisations, plus the work done by soldiers in the hay-making etc., and the Italian prisoners, re simply blackleg labour.

The Government wins at Salisbury. Hipwell, [5] the editor of Reveille, was the Independent candidate. Wherever this mountebank stands the Government wins automatically. How grateful they must be to him, if indeed they aren’t actually paying him to do it.

The “Blue bell” again shut for lack of beer. Quite serious boozing for 4 or 5 days of the week, then drought. [Sometimes, however, when they are shut the local officers are to be seen drinking in a private room, the common soldiers as well as the labourers being shut out. The “Red Lion” in the next village, goes on a different system which the proprietor explains to me: “I don’t hold with giving it all to the summer visitors. If beer’s short, let the locals come first, I say. A lot of days I keep the pub door shut, and then only the locals now the way in at the back. A man that’s working in the fields needs his beer, ‘specially with the food they got to eat nowadays. But I rations ‘em. I says to ‘em, ‘Now look here, you want your beer regular, don’t you? Wouldn’t you rather have a pint with your dinner every day than four pints one day and three the next?’ Same with the soldiers. I don’t like to refuse beer to a soldier, but I only lets ‘em have a pint their first drink. After that it’s ‘Half pints only, boys’. Like that it gets shared out a bit.”].",
22.7.42,"From Ahmed Ali’s [1] last letter from India.

“Here is a little bit of old Delhi which might interest you.

“In a busy street a newsboy was shouting in Urdu: ‘Pandit Jawaharlal [2] saying his rosary the other way round’. What he meant was that he had changed his attitude towards the Government. Questioned he said: ‘You can never be sure of him, today he says side with the Government and help in the war effort, tomorrow just the opposite’. He turned away from me and began shouting his cry, adding: ‘Jawaharlal has given a challenge to the Government’. I could not find this ‘challenge’ in the papers.

“Other newsboys selling Urdu papers: ‘Germany has smashed Russia in the very first attack’. Needless to say I read just the opposite in my English papers the next morning. Obviously the Urdu papers had repeated what Berlin had said. No one stops the newsboys shouting what they like.

“One day going in a tonga I heard the driver shout to his horse as he shied: ‘Why do you get back like our Sarkar! Go forward like Hitler!’ and he swore”.

[“Its rather fun going out to the bazaars and markets and listening to the loud gossip – provided, of course, it is not unbearably hot. I shall tell you more from time to time, if you are interested.”]",
23.7.42,"I now make entries in this diary much more seldom than I used to, for the reason that I literally have not any spare time. And yet I am doing nothing that is not futility and have less and less to show for the time I waste. It seems to be the same with everyone – the most fearful feeling of frustration, of just fooling round doing imbecile things, not imbecile because they are a part of the war and the war is inherently foolish, but things which in fact don’t help or in any way affect the war effort, but are considered necessary by the huge bureaucratic machine in which we are all caught up. Much of the stuff that goes out from the BBC is just shot into the stratosphere, not listened to by anybody and known by those responsible for it to be not listened to by anybody. And round this futile stuff hundreds of skilled workers are grouped [, costing the country tens of thousands per annum,] and tagging on to them are thousands of others who in effect have no real job but have found themselves a quiet niche and are sitting in it pretending to work. The same everywhere, especially in the Ministries.

[However, the bread one casts on the waters sometimes fetches up in strange places. We did a series of 6 talks on modern English literature, very highbrow and, I believe, completely un-listened to in India. Hsiao Chi’en, the Chinese student, reads the talks in the “Listener” and is so impressed that he begins writing a book in Chinese on modern Western literature, drawing largerly on our talks. So the propaganda aimed at India misses India and accidentally hits China. Perhaps the best way to influence India would be by broadcasting to China.]

The Indian Communist party, and its press, legalised again. I should say after this they will have to take the ban off the Daily Worker, otherwise the position is too absurd.

This reminds me of the story David Owen* told me and which I believe I didn’t enter in this diary. Cripps on his arrival in India asked the Viceroy to release the interned Communists. The Viceroy consented (I believe most of them have been released since), but at the last moment got cold feet and said nervously: “But how can you be sure they’re really Communists?”

We are going to have to increase our consumption of potatoes by 20 percent, so it is said. Partly to save bread, and partly to dispose of this year’s potato crop, which is enormous. [1]",
26.7.42,"Yesterday and today, on the Home Guard manoeuvres, passing various small camps of soldiers in the woods, radiolocation [= radar] stations etc. Struck by the appearance of the soldiers, their magnificent health and the brutalized look in their faces. All young and fresh, with round fat limbs and rosy faces with beautiful clear skins. But sullen brutish expressions – not fierce or wicked in any way, but simply stupefied by boredom, loneliness, discontent, endless tiredness and mere physical health.",
27.7.42,"Talking today with Sultana, one of the Maltese broadcasters. He says he is able to keep in fairly good touch with Malta and conditions are very bad there. “The last letter I get this morning was like a – how you say? (much gesticulation) – like a sieve. All the pieces what the censor cut out, you understand. But I make something out of it, all the same.” He went on to tell me, among other things, that 5 lbs of potatoes now cost the equivalent of 8 shillings. [He considers that of the two convoys which recently endeavoured to reach Malta the one from England, which succeeded in getting there, carried munitions, and the one from Egypt, which failed to get there, carried food.] I said, “Why can’t they send dehydrated food by plane?” He shrugged his shoulders, seeming to feel instinctively that the British government would never go to that much trouble over Malta. Yet it seems that the Maltese are solidly pro-British, thanks to Mussolini, no doubt.

[The German broadcasts are claiming that Voroshilov [1] is in London, which is not very likely and has not been rumoured here. Probably a shot in the dark to offset their recent failure over Molotov, [2] and made on the calculation that some high-up Russian military delegate is likely to be here at this moment. If the story should turn out to be true, I shall have to revise my ideas about the German secret service in this country.]

The crowd at the Second Front meeting in Trafalgar Square estimated at 40,000 in the rightwing papers and 60,000 in the leftwing. Perhaps 50,000 in reality. My spy reports that in spite of the present Communist line of “all power to Churchill”, the Communist speakers in fact attacked the Government very bitterly.",
28.7.42,"Today I have read less newspapers than usual, but the ones I have seen have gone cold on the Second Front, except for the News Chronicle. [the Evening News published an anti-Second Front article (by General Brownrigg [1]) on its front page ] I remarked on this to Herbert Read [2] who said gloomily “The Government has told them to shut up about it”. [It is true of course that if they are intending to start something they must still seem to deny it.] Read said he thought the position in Russia was desperate and seemed very upset about it, though in the past he has been even more anti-Stalin than I. I said to him, “Don’t you feel quite differently towards the Russians now they are in a jam?” and he agreed. For that matter I felt quite differently towards England when I saw that England was in a jam. Looking back I see that I was anti-Russian (or more exactly anti-Stalin) during the years when Russia appeared to be powerful, militarily and politically, ie. 1933 to 1941. Before and after those dates I was pro-Russian. One could interpret this in several different ways.

A small raid on the outskirts of London last night. The new rocket guns, some of which are [now] manned by Home Guards, [3] were in action [and are said to have brought down some planes (8 planes down altogether).]

This is the first time the Home Guard can properly be said to have been in action, a little over 2 years after its formation.

The Germans never admit damage to military objectives, but they acknowledge civilian casualties after our bigger raids. After the Hamburg raid of 2 nights ago they described the casualties as heavy. The papers here reproduce this with pride. Two years ago we would all have been aghast at the idea of killing civilians. I remember saying to someone during the blitz, when the RAF were hitting back as best they could, “In a year’s time you’ll see headlines in the Daily Express: ‘Successful raid on Berlin Orphanage. Babies Set on Fire’.” It hasn’t come to that yet, but that is the direction we are going in.",
1.8.42,"If the figures given are correct, the Germans have lost about 10 per cent of their strength in each of the last raids. According to Peter Masefield this isn’t anything to do with the new guns but has all been done by the night fighters. He also told me that the new FW 190 fighter is much better than any fighter we now have in actual service. [An aircraft construction man named Bowyer who was broadcasting together with him agreed with this.] Oliver Stewart considers that the recent German raids are reconnaissance raids and that they intend starting the big blitz again soon, at any rate if they can get their hands free in Russia. [1]

Not much to do over the bank holiday weekend. [2] Busy at every odd moment making a hen-house. This kind of thing now needs great ingenuity owing to the extreme difficulty of getting hold of timber. No sense of guilt or time-wasting when I do anything of this type – on the contrary, a vague feeling that any sane occupation must be useful, or at any rate justifiable.",
3.8.42,"D[avid] A[stor] says Churchill is in Moscow. [1] He also says there isn’t going to be any second front. However, if a second front is intended, the Government must do all it can to spread the contrary impression beforehand, [and D.A. might be one of the people used to plant the rumour.

D.A. says that when the commandos land the Germans never fight but always clear out immediately. No doubt they have orders to do so. This act is not allowed to be published – presumable reason, to prevent the public from becoming over-confident.]

According to D.A., Cripps does intend to resign from the Government [2] and has his alternative policy ready. He can’t, of course, speak of this in public but will do so in private. However, I hear that Macmurray [3] when staying with Cripps recently could get nothing whatever out of him as to his political intentions.",
4.8.42,The Turkish radio (among others) also says Churchill is in Moscow.,
5.8.42,"General dismay over the Government of India’s rash act in publishing the documents seized in the police raid on Congress headquarters. [1] [As usual the crucial document is capable of more than one interpretation and the resulting squabble will simply turn wavering elements in Congress more anti-British.] The anti-Indian feeling which the publication has aroused in America, and perhaps Russia and China, is not in the long run any good to us. The Russian government announces discovery of a Tsarist plot, quite in the old style. I can’t help a vague feeling that this is somehow linked up with the simultaneous discovery of Gandhi’s plot with the Japanese.",
7.8.42,"[Hugh Slater is very despondent about the war. He says that at the rate at which the Russians have been retreating it is not possible that Timoshenko has really got his army away intact, as reported. He also says that the tone if the Moscow press and wireless shows that morale in Russia must be very bad.] Like almost everyone I know, except Warburg, Hugh Slater considers that there isn’t going to be any Second Front. This is the inference everyone draws from Churchill’s visit to Moscow. [1] People say, “Why should he go to Moscow to tell them we’re going to [2] open a second front? He must have gone there to tell them we can’t do it”. Everyone agrees with my suggestion that it would be a good job if Churchill were sunk of the way back, like Kitchener. [3] [Of course the possibility remains that Churchill isn’t in Moscow.]

Last night for the first time took a Sten gun to pieces. [4] There is almost nothing to learn in it. [No spare parts. If the gun goes seriously wrong you simply chuck it away and get another.] Weight of the gun without magazine is 5 ½ pounds – [weight of the Tommy gun would be 12-15 lb. Estimated price is not 50/- as I had imagined, but 18/-.] I can see a million or two million of these things, each with 500 cartridges and a book of instructions, floating down all over Europe on little parachutes. If the Government had the guts to do that they would really have burned their boats.",
9.8.42,"Fired the Sten gun for the first time today. No kick, no vibration, very little noise, and reasonable accuracy. Out of about 2500 rounds fired, 2 stoppages, in each case due to a dud cartridge – treatment, simply to work the bolt by hand.",
10.8.42,"Nehru, Gandhi, Azad [1] and many others in jail. Rioting over most of India, a number of deaths, countless arrests. Ghastly speech by Amery, [2] speaking of Nehru and Co. as “wicked men”, “saboteurs” etc. This of course broadcast on the Empire service and rebroadcast by AIR. [3] The best joke of all was that the Germans did their best to jam it, unfortunately without success.

Terrible feeling of depression among the Indians and everyone sympathetic to India. [Even Bokhari, a Moslem League [4] man, almost in tears and talking about resigning from the BBC.] It is strange, but quite truly the way the British Government is now behaving upsets me more than a military defeat.",
12.8.42,"Appalling policy handout this morning about affairs in India. The riots are of no significance – situation is well in hand – after all the number of deaths is not large etc., etc. As to the participation of students in the riots, this is explained along “boys will be boys” lines. “We all know that students everywhere are only too glad to join in any kind of rag”, etc., . Almost everyone utterly disgusted. Some of the Indians when they hear this kind of stuff turn quite pale, a strange sight.

Most of the press taking a tough line, the Rothermere press disgustingly so. If these repressive measures in India are seemingly successful for the time being, the effects in this country will be very bad. All seems set for a big come-back of the reactionaries, and it almost begins to appear as though leaving Russia in the lurch were part of the manoeuvre. [This afternoon shown in strict confidence by David Owen Amery’s statement [on] postwar policy towards Burma, based on Dorman-Smith’s [1] report. It envisages a return to “direct rule” for a period of 5-7 years, Burma’s reconstruction to be financed by Britain and the big British firms to be re-established on much the same terms as before. Please God no documents of this kind gets into enemy hands. I did however get from Owen and from the confidential document one useful piece of information – that, so far as it is known, the scorched earth policy was really carried out with extreme thoroughness.]",
14.8.42,"Horrabin was broadcasting today, and as always we introduced him as the man who drew maps for Well’s Outline of History and Nehru’s Glimpses of World History. [1] This had been extensively trailed and advertised beforehand, Horrabin’s connection with Nehru being naturally a draw for India. Today the reference to Nehru was cut out from the announcement – N. Being in prison and therefore having become bad.",
18.8.42,"From George Kopp’s [1] last letter from Marseilles (after some rigmarole about the engineering work he has been doing): “…I am about to start production on an industrial scale. But I am not at all certain that I shall actually do so, because I have definite contracts with my firm, which has, I am afraid, developed lately connections which reduce considerably its independence and it is possible that another firm would eventually profit by my work, which I should hate since I have no arrangements at all with the latter and will not, for the time being, be prepared to sign any. If I am compelled to stop, I really don’t know what I am going to do; I wish some of my very dear friends to whom I have written repeatedly would not be as slow and as passive as they seem to be. If no prospects open in this field, I contemplate to make use of another process of mine, related to bridge-building [, which, you may remember, I have put into successful operation at San Mateo before the war.”]

Translated: “I am afraid France is going into full alliance with Germany. If the Second Front is not opened soon I shall do my best to escape to England”.",
19.8.42,"Big Commando raid on Dieppe today. Raid was still continuing this evening. Just conceivably the first step in an invasion, or a try-out for the first step, though I don’t think so. The warning that was broadcast to the French people that this was only a raid and they were not to join in would in that case be a bluff.",
22.8.42,"D[avid] A[stor] very damping about the Dieppe raid, which he saw at more or less close quarters and which he says was an almost complete failure except for the very heavy destruction of German fighter planes, which was not part of the plan. He says that the affair was definitely misrepresented in the press [1] and is now being misrepresented in the reports to the P.M., and that the main facts were: – Something over 5000 men were engaged, of whom at least 2000 were killed or prisoners. It was not intended to stay longer on shore than was actually done (ie. till about 4pm), but the idea was to destroy all the defences of Dieppe, and the attempt to do this was an utter failure. In fact only comparatively trivial damage was done, a few batteries of guns knocked out etc., and only one of the three main parties really made its objective. The others did not get far and many were massacred on the beach by artillery fire. The defences were formidable and would have been difficult to deal with even if there had been artillery support, as the guns were sunk in the face of the cliffs or under enormous concrete coverings. More tank-landing craft were sunk then got ashore. About 20 or 30 tanks were landed but none got off again. The newspaper photos which showed tanks apparently being brought back to England were intentionally misleading. The general impression was that the Germans knew of the raid beforehand. [2] Almost as soon as it was begun they had a man broadcasting a spurious “eye-witness” account from somewhere further up the coast, and another man broadcasting false orders in English. On the other hand the Germans were evidently surprised by the strength of the air support. Whereas normally they have kept their fighters on the ground so as to conserve their strength, they sent them into the air as soon as they heard that tanks were landing, and lost a number of planes variously estimated, but considered by some RAF officers to be as high as 270. Owing to the British strength in the air the destroyers were able to lie outside Dieppe all day. One was sunk, by this was by a shore battery. When a request came to attack some objective on shore, the destroyers formed in line and raced inshore firing their guns while the fighter planes supported them overhead.

David Astor considers that this definitely proves that an invasion of Europe is impossible. [Of course we can’t feel sure that he hasn’t been planted to say this, considering who his parents are.] I can’t help feeling that to get ashore at all at such a strongly defended spot, without either bomber support, artillery support except for the guns of the destroyers (4.9 guns I suppose) or airborne troops, was a considerable achievement.",
25.8.42,"One of the many rumours circulating among Indians here is that Nehru, Gandhi and others have been deported to South Africa. This is the kind of thing that results from press censorship and suppressing newspapers.",
27.8.42,"Ban on the daily Worker lifted. [1] [It is to reappear on Sept 7th (same day as Churchill makes his statement to Parliament.]

[German radio again alleging S.C. Bose is in Penang. But the indications are that this was a slip of the tongue for R. B. Bose.]",
29.8.42,"Advert in pub for pick-me-up tablets – phenacetin or something of the kind: –

BLITZ

Thoroughly recommended by the Medical Profession

The

“LIGHTNING”

Marvellous discovery

Millions take this remedy

For

Hangover

                                War Nerves

Influenza

                                Headache

Toothache

                                Neuralgia

Sleeplessness

                                Rheumatism

Depression, etc., etc.

Contains no Aspirin

Another rumour among the Indians about Nehru – this time that he has escaped.",
7.9.42,"There is evidently trouble in Syria. Handout this morning to the effect that – most unfortunately and much against H.M. Government’s will – General de Gaulle is insisting that Syria is still under a French mandate and it is impossible yet to make a treaty, as in the case of Irak. General de Gaulle’s attitude is considered most deplorable, but as he is, after all, the accredited leader of the Free French and the whole legal position is very obscure (the matter should be decided upon by the League of Nations which unfortunately no longer exists) H.M. Government is unable, etc., etc. In other words the Syrians will get no treaty, the blame for this is placed on our puppet de Gaulle, and if possible we shall swipe Syria for ourselves. When I heard this hollow rubbish trotted out by Rushbrooke-Williams [1] this morning and we all had to listen and keep straight faces, there came into my head, I don’t quite know why, the lines from Hardy’s Dynasts about the crowning of Napoleon in Rome:

Do not the prelate’s accents falter thin,

His lips with inheld laughter grow deformed,

In blessing one whose aim is but to win

The golden seat that other bums have warmed? [2]

The Daily Worker reappeared today – very mild, but they are urging (a) a second front (b) all help to Russia in the way of arms etc., and (c) a demagogic programme of higher wages all round which would be utterly incompatible with (a) and (b).",
10.9.42,"Lecturing last night at Morley College, Lambeth. Small hall, about 100 people, working-class intelligentsia (same sort of audience as Left Book Club branch [1]). During the questions afterwards, no less than 6 people asked “Does the lecturer think it was a great mistake to lift Theban from the Daily Worker” – reasons given, that the D.W’s loyalty is not reliable and it is a waste of paper. [Only one woman stood up for the D. W., evidently a Communist at whom one or two of the others expressed impatience (“oh, she’s always saying that”!)] This after a year during which there has been a ceaseless clamour for the lifting of the ban. One is constantly being thrown out in one’s calculations because one listens to the articulate minority and forgets the other 99 per cent. Cf. Munich, when the mass of people were almost certainly behind Chamberlain’s policy, though to read the New Statesman etc. you wouldn’t have thought so.",
15.9.42,"Ghastly feeling of impotence over the India business, Churchill’s speeches, the evident intention of the blimps to have one more try at being what they consider tough, and the impudent way in which the newspapers can misrepresent the whole issue, well knowing that the public will never know enough or take enough interest to verify the facts. This last is the worst symptom of all – though actually our own apathy about India is not worse than the non-interest of Indian intellectuals in the struggle against Fascism in Europe.",
